Time,Latitude,Longitude,Depth(km),Magnitude,Location
2022-10-01T23:50:15.010Z,19.43,-155.62,-0.74,2.99,"26 km E of Honaunau-Napoopoo, Hawaii"
2022-10-01T23:41:28.811Z,-15.04,-172.13,5.0,4.9,"121 km SSW of Lotofag?, Samoa"
2022-10-01T22:37:55.362Z,58.34,-133.29,0.0,2.9,"66 km E of Juneau, Alaska"
2022-10-01T21:24:17.856Z,-5.34,133.76,34.59,4.4,"Kepulauan Kai, Indonesia"
2022-10-01T19:41:35.962Z,-6.73,129.93,127.21,4.6,Banda Sea
2022-10-01T19:35:24.900Z,-24.93,179.87,497.32,4.5,south of the Fiji Islands
2022-10-01T18:46:52.330Z,-5.84,149.55,10.0,4.5,"40 km N of Kandrian, Papua New Guinea"
2022-10-01T18:15:47.837Z,51.69,-178.73,16.09,3.0,"146 km W of Adak, Alaska"
2022-10-01T17:09:26.543Z,54.08,-166.86,102.27,3.2,"29 km NW of Dutch Harbor, Alaska"
2022-10-01T16:36:49.752Z,15.01,-94.03,22.48,5.5,"near the coast of Oaxaca, Mexico"
2022-10-01T16:19:26.142Z,17.0,147.13,34.92,4.7,"246 km NE of Saipan, Northern Mariana Islands"
2022-10-01T16:11:24.780Z,19.24,-155.39,32.42,2.97,"10 km ENE of P?hala, Hawaii"
2022-10-01T15:56:25.914Z,17.05,147.07,36.77,4.9,"247 km NE of Saipan, Northern Mariana Islands"
2022-10-01T15:02:31.340Z,31.34,131.45,22.78,5.7,"24 km SE of Kushima, Japan"
2022-10-01T14:28:11.825Z,63.31,-153.77,6.5,2.8,"44 km NE of Nikolai, Alaska"
2022-10-01T14:24:28.346Z,58.35,-133.28,0.0,2.8,Southeastern Alaska
2022-10-01T13:57:27.970Z,18.0,-68.46,154.0,3.81,"44 km SSE of Boca de Yuma, Dominican Republic"
2022-10-01T13:50:16.179Z,-3.83,101.84,60.65,4.9,"47 km W of Bengkulu, Indonesia"
2022-10-01T13:43:34.811Z,-14.54,166.8,65.83,4.9,"62 km NNW of Port-Olry, Vanuatu"
2022-10-01T13:41:38.760Z,53.96,-35.19,10.0,4.6,Reykjanes Ridge
2022-10-01T12:49:21.595Z,31.69,-104.2,7.8,2.9,western Texas
2022-10-01T12:44:47.759Z,28.65,140.48,48.5,5.0,"Bonin Islands, Japan region"
2022-10-01T12:30:27.140Z,36.7,-97.67,7.0,2.76,Oklahoma
2022-10-01T10:43:42.767Z,54.49,-159.58,26.96,3.7,"111 km SSE of Sand Point, Alaska"
2022-10-01T10:36:26.860Z,19.18,-155.46,32.13,3.09,"2 km SE of P?hala, Hawaii"
2022-10-01T10:25:16.581Z,-4.32,143.95,102.44,4.9,"New Guinea, Papua New Guinea"
2022-10-01T09:01:34.500Z,18.69,-66.94,79.0,3.71,"23 km NNE of Isabela, Puerto Rico"
2022-10-01T08:40:25.663Z,-23.4,-66.82,215.25,4.4,"104 km NNW of San Antonio de los Cobres, Argentina"
2022-10-01T08:05:39.441Z,13.01,-91.34,10.0,4.3,near the coast of Guatemala
2022-10-01T07:44:38.050Z,17.98,-66.99,6.0,3.01,"5 km E of La Parguera, Puerto Rico"
2022-10-01T07:21:17.662Z,-33.88,179.33,185.26,4.6,south of the Kermadec Islands
2022-10-01T07:01:47.030Z,19.48,-155.59,-0.69,3.47,"Island of Hawaii, Hawaii"
2022-10-01T06:23:55.112Z,-7.97,-74.55,157.34,4.7,"45 km N of Pucallpa, Peru"
2022-10-01T06:12:14.468Z,63.0,-150.78,110.4,3.0,"56 km N of Petersville, Alaska"
2022-10-01T05:41:14.745Z,39.62,40.52,3.09,4.3,"20 km N of Yedisu, Turkey"
2022-10-01T05:33:38.018Z,-20.92,-69.13,116.97,4.1,"132 km SE of Iquique, Chile"
2022-10-01T05:27:56.559Z,17.82,-61.54,27.16,4.2,"37 km ENE of Codrington, Antigua and Barbuda"
2022-10-01T05:12:39.411Z,-1.4,-15.25,10.0,5.0,north of Ascension Island
2022-10-01T04:58:04.396Z,53.85,-35.29,10.0,4.8,Reykjanes Ridge
2022-10-01T04:46:01.650Z,53.82,-35.22,10.0,4.5,Reykjanes Ridge
2022-10-01T04:26:41.534Z,17.04,146.99,50.15,4.7,"241 km NNE of Saipan, Northern Mariana Islands"
